athlete|運動選手
coach|コーチ、指導員
rival|ライバル、競争相手
train|（を）訓練する、トレーニングする
exercise|運動する
practice|（を）練習する
indoor|屋内の、室内の
flag|旗、国旗
nature|自然、自然界
climate|気候
forecast|予報、予測
temperature|温度、気温
wind|風
breeze|そよ風
storm|嵐
thunder|雷、雷鳴
wave|波
ray|光線
sunlight|日光
sunshine|日差し、日なた
sunset|日没
landscape|風景、景色
continent|大陸
ocean|海
island|島
ground|地面
cave|洞窟
bay|湾、入り江
coast|海岸、沿岸
shore|岸
horizon|地平線、水平線
valley|谷、盆地
desert|砂漠
sand|砂漠
mud|泥
rock|岩、岩石
environment|（自然）環境
recycle|～を再(生)処理する、リサイクルする
pollution|汚染、公害
disaster|(大)災害
earthquake|地震
flood|洪水
rescue|～を救助する
creature|生き物、動物
species|種(しゅ)
wild|野生の
wildlife|野生生物
insect|昆虫
dinosaur|恐竜
hunt|狩りをする
